scope,tableName,length,pattern,sample,next_B,next_P,B_rate,P_rate,best_side,best_rate
global,ALL,8,PBBBBPBB,80,48,32,60.0,40.0,B,60.0
global,ALL,8,PBBPBBBP,80,28,52,35.0,65.0,P,65.0
global,ALL,8,PPBPBBBB,80,48,32,60.0,40.0,B,60.0
global,ALL,8,BBPBBPPP,79,35,44,44.3038,55.6962,P,55.6962
global,ALL,8,BPBBBBBP,79,37,42,46.8354,53.1646,P,53.1646
global,ALL,8,BBBPBBBP,78,29,49,37.1795,62.8205,P,62.8205
global,ALL,8,BBBPBPPB,78,47,31,60.2564,39.7436,B,60.2564
global,ALL,8,PBPPPPPB,78,52,26,66.6667,33.3333,B,66.6667
global,ALL,8,PPPBPBBB,78,48,30,61.5385,38.4615,B,61.5385
global,ALL,8,BBBBBPBP,77,27,50,35.0649,64.9351,P,64.9351
global,ALL,8,BBBPBPPP,77,37,40,48.0519,51.9481,P,51.9481
